rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
6647,7915,DNB Quota,"Medicover Hospitals, (Formerly MaxCure Hospital)",(NBEMS) GENERAL MEDICINE,Not Reported,DNB Quota,"Manipal Hospital,",(NBEMS) GENERAL MEDICINE,Not Reported,DNB Quota,"Bethany Hospital, ,Pokhran road No. 2, Thane West, Maharas htra, 400610",(NBEMS) GENERAL MEDICIN E,Open,General,256
6648,7916,-,-,-,-,All India,"S.V. Medical College, Tirupathi",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Seat Surrende red,All India,"KURNO OL MEDICA L COLLEG E,KURN OOL MEDICA L COLLEG E, Andhra Pradesh, 518002",M.D. (Obst. and Gynae)/M S (Obstetric s and Gynaecolo gy),OBC,OBC,34
6649,7917,-,-,-,-,All India,Ganesh Shankar Vidyarthi Memorial Medical College,M.S. (GENERAL SURGERY),Reported,-,-,-,-,-,-
6650,7918,All India,"GOVERNMENT THOOTHUKUDI MEDICAL COLLEGE, THOOTHUKUDI",M.D. (PAEDIATRICS),Reported,All India,Tirunelveli Medical College,M.D. (PAEDIATRICS),Reported,All India,"Governm ent Mohan Kumara mangala m Medical College, Salem,G overnme nt Mohan Kumara mangala m Medical College, Majeera Kollappat ti, Steel Plant Road, Salem., Tamil Nadu, 636030",M.D. (PAEDIAT RICS),EWS,EWS,43
6651,7920,All India,MADRAS MEDICAL COLLEGE,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-,-,-,-,-
6652,7921,DNB Quota,"Sir Ganga Ram Hospital,",(NBEMS) Paediatric Surgery (Direct 6 Years Course),Reported,-,-,-,-,-,-,-,-,-,-
6653,7923,-,-,-,-,All India,Kakatiya Medical College,M.S. (GENERAL SURGERY),Not Reported,-,-,-,-,-,-
6654,7924,All India,"Sher-i-Kashmir Institute of Medical Sciences, Srinagar,J&K",M.S. (GENERAL SURGERY),Not Reported,-,-,-,-,-,-,-,-,-,-
6655,7926,All India,"Sher-i-Kashmir Institute of Medical Sciences, Srinagar,J&K",M.D. (GENERAL MEDICINE),Not Reported,All India,"Sher-i-Kashmir Institute of Medical Sciences, Srinagar,J&K",M.D. (GENERAL MEDICINE),Reported,All India,"PGIMER, DR. RML Hospital, ABVIMS, DR. RML Hospital, Baba Kharak Singh Marg, Cannaug ht Place, Delhi (NCT), 110001",M.D. (GENERA L MEDICIN E),ST,ST,1
6656,7929,All India,"GOVERNMENT VILLUPURAM MEDICAL COLLEGE, VILLUPURAM",M.S. (GENERAL SURGERY),Seat Surrende red,-,-,-,-,-,-,-,-,-,-
6657,7931,-,-,-,-,All India,Midnapore Medical College and Hospital,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,All India,"Burdwan Medical College, West Bengal,B urdwan Medical College, West Bengal, West Bengal, 713104",M.D. (Obst. and Gynae)/M S (Obstetric s and Gynaecolo gy),Open,General,27
6658,7933,All India,MADURAI MEDICAL COLLEGE,M.D. (ANAESTHESIO LOGY),Not Reported,-,-,-,-,All India,"Governm ent Thiruvan namalai Medical College, Thiruvan namalai, Tamil Nadu,DI STRICT COLLEC TORATE MASTER PLAN COMPLE X, VENGIK KAL THIRUV ANNAM ALAI, Tamil Nadu, 600604",M.D. (Obst. and Gynae)/M S (Obstetric s and Gynaecolo gy),OBC,OBC,30
6659,7935,DNB Quota,Dr. B L Kapur Memorial Hospital,(NBEMS) PAEDIATRICS,Not Reported,-,-,-,-,All India,"Assam Medical College, Assam Medical College, Assam, 786002",M.D. (PAEDIAT RICS),Open,General,68
6660,7937,DNB Quota,"Seven Hills Hospital,",(NBEMS) GENERAL MEDICINE,Reported,DNB Quota,"Medicover Hospitals, (Formerly MaxCure Hospital)",(NBEMS) GENERAL MEDICINE,Reported,-,-,-,-,-,-
6661,7938,All India,Andhra Medical College,M.D. (PAEDIATRICS),Reported,-,-,-,-,-,-,-,-,-,-
6662,7939,All India,Assam Medical College,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Not Reported,All India,"BELAGAVI INSTITUTE OF MEDICAL SCIENCES, BELAGAVI",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-
6663,7940,All India,GOVERNMENT VELLORE MEDICAL COLLEGE,M.S. (GENERAL SURGERY),Reported,All India,ESIC Medical College and PGIMSR,M.S. (GENERAL SURGERY),Reported,-,-,-,-,-,-
6664,7942,All India,"PGIMER, DR. RML Hospital",M.D. (ANAESTHESIO LOGY),Reported,-,-,-,-,-,-,-,-,-,-
6665,7943,All India,IPGME&R and SSKM Hospital Kolkata,M.S. (GENERAL SURGERY),Reported,-,-,-,-,-,-,-,-,-,-
